tournament_year,player_name,player_name_en,position,season,club,league,country,club_lat,club_lng,appearances
2010,楢崎正剛,Seigo Narazaki,GK,2007,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,35
2010,楢崎正剛,Seigo Narazaki,GK,2008,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,33
2010,楢崎正剛,Seigo Narazaki,GK,2009,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,35
2010,楢崎正剛,Seigo Narazaki,GK,2010,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,34
2010,川島永嗣,Eiji Kawashima,GK,2007,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,48
2010,川島永嗣,Eiji Kawashima,GK,2008,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,36
2010,川島永嗣,Eiji Kawashima,GK,2009,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,47
2010,川島永嗣,Eiji Kawashima,GK,2010,Kawasaki Frontale,J1 League,Japan,35.5848,139.6418,17
2010,川口能活,Yoshikatsu Kawaguchi,GK,2007,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,36
2010,川口能活,Yoshikatsu Kawaguchi,GK,2008,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,34
2010,川口能活,Yoshikatsu Kawaguchi,GK,2009,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,30
2010,川口能活,Yoshikatsu Kawaguchi,GK,2010,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,22
2010,阿部勇樹,Yuki Abe,MF,2007,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,52
2010,阿部勇樹,Yuki Abe,MF,2008,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,39
2010,阿部勇樹,Yuki Abe,MF,2009,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,38
2010,阿部勇樹,Yuki Abe,MF,2010,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,22
2010,駒野友一,Yuichi Komano,DF,2007,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,42
2010,駒野友一,Yuichi Komano,DF,2008,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,35
2010,駒野友一,Yuichi Komano,DF,2009,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,36
2010,駒野友一,Yuichi Komano,DF,2010,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,27
2010,田中マルクス闘莉王,Marcus Tulio Tanaka,DF,2007,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,37
2010,田中マルクス闘莉王,Marcus Tulio Tanaka,DF,2008,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,37
2010,田中マルクス闘莉王,Marcus Tulio Tanaka,DF,2009,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,32
2010,田中マルクス闘莉王,Marcus Tulio Tanaka,DF,2010,Nagoya Grampus,J1 League,Japan,35.1227,136.9443,30
2010,長友佑都,Yuto Nagatomo,DF,2007,FC Tokyo,J1 League,Japan,35.6643,139.5271,1
2010,長友佑都,Yuto Nagatomo,DF,2008,FC Tokyo,J1 League,Japan,35.6643,139.5271,35
2010,長友佑都,Yuto Nagatomo,DF,2009,FC Tokyo,J1 League,Japan,35.6643,139.5271,36
2010,長友佑都,Yuto Nagatomo,DF,2010,FC Tokyo,J1 League,Japan,35.6643,139.5271,13
2010,内田篤人,Atsuto Uchida,DF,2007,Kashima Antlers,J1 League,Japan,35.9917,140.6405,44
2010,内田篤人,Atsuto Uchida,DF,2008,Kashima Antlers,J1 League,Japan,35.9917,140.6405,34
2010,内田篤人,Atsuto Uchida,DF,2009,Kashima Antlers,J1 League,Japan,35.9917,140.6405,43
2010,内田篤人,Atsuto Uchida,DF,2010,Kashima Antlers,J1 League,Japan,35.9917,140.6405,17
2010,岩政大樹,Daiki Iwamasa,DF,2007,Kashima Antlers,J1 League,Japan,35.9917,140.6405,48
2010,岩政大樹,Daiki Iwamasa,DF,2008,Kashima Antlers,J1 League,Japan,35.9917,140.6405,45
2010,岩政大樹,Daiki Iwamasa,DF,2009,Kashima Antlers,J1 League,Japan,35.9917,140.6405,43
2010,岩政大樹,Daiki Iwamasa,DF,2010,Kashima Antlers,J1 League,Japan,35.9917,140.6405,45
2010,中澤佑二,Yuji Nakazawa,DF,2007,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,40
2010,中澤佑二,Yuji Nakazawa,DF,2008,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,39
2010,中澤佑二,Yuji Nakazawa,DF,2009,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,36
2010,中澤佑二,Yuji Nakazawa,DF,2010,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,24
