tournament_year,player_name,player_name_en,position,season,club,league,country,club_lat,club_lng,appearances
2014,川島永嗣,Eiji Kawashima,GK,2011,Lierse S.K.,Belgian Pro League,Belgium,51.1442,4.5736,30
2014,川島永嗣,Eiji Kawashima,GK,2012,Lierse S.K.,Belgian Pro League,Belgium,51.1442,4.5736,36
2014,川島永嗣,Eiji Kawashima,GK,2013,Standard Liège,Belgian Pro League,Belgium,50.6100,5.5433,40
2014,川島永嗣,Eiji Kawashima,GK,2014,Standard Liège,Belgian Pro League,Belgium,50.6100,5.5433,47
2014,西川周作,Shūsaku Nishikawa,GK,2011,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,35
2014,西川周作,Shūsaku Nishikawa,GK,2012,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,38
2014,西川周作,Shūsaku Nishikawa,GK,2013,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,46
2014,西川周作,Shūsaku Nishikawa,GK,2014,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,38
2014,権田修一,Shūichi Gonda,GK,2011,FC Tokyo,J2 League,Japan,35.6643,139.5271,25
2014,権田修一,Shūichi Gonda,GK,2012,FC Tokyo,J1 League,Japan,35.6643,139.5271,36
2014,権田修一,Shūichi Gonda,GK,2013,FC Tokyo,J1 League,Japan,35.6643,139.5271,35
2014,権田修一,Shūichi Gonda,GK,2014,FC Tokyo,J1 League,Japan,35.6643,139.5271,34
2014,内田篤人,Atsuto Uchida,DF,2011,FC Schalke 04,Bundesliga,Germany,51.5544,7.0675,43
2014,内田篤人,Atsuto Uchida,DF,2012,FC Schalke 04,Bundesliga,Germany,51.5544,7.0675,26
2014,内田篤人,Atsuto Uchida,DF,2013,FC Schalke 04,Bundesliga,Germany,51.5544,7.0675,30
2014,内田篤人,Atsuto Uchida,DF,2014,FC Schalke 04,Bundesliga,Germany,51.5544,7.0675,27
2014,酒井高徳,Gōtoku Sakai,DF,2011,Albirex Niigata,J1 League,Japan,37.8825,139.0592,30
2014,酒井高徳,Gōtoku Sakai,DF,2012,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,14
2014,酒井高徳,Gōtoku Sakai,DF,2013,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,41
2014,酒井高徳,Gōtoku Sakai,DF,2014,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,32
2014,長友佑都,Yuto Nagatomo,DF,2011,A.C. Cesena,Serie A,Italy,44.1406,12.2619,16
2014,長友佑都,Yuto Nagatomo,DF,2011,Inter Milan,Serie A,Italy,45.4781,9.1239,16
2014,長友佑都,Yuto Nagatomo,DF,2012,Inter Milan,Serie A,Italy,45.4781,9.1239,43
2014,長友佑都,Yuto Nagatomo,DF,2013,Inter Milan,Serie A,Italy,45.4781,9.1239,35
2014,長友佑都,Yuto Nagatomo,DF,2014,Inter Milan,Serie A,Italy,45.4781,9.1239,36
2014,森重真人,Masato Morishige,DF,2011,FC Tokyo,J2 League,Japan,35.6643,139.5271,43
2014,森重真人,Masato Morishige,DF,2012,FC Tokyo,J1 League,Japan,35.6643,139.5271,46
2014,森重真人,Masato Morishige,DF,2013,FC Tokyo,J1 League,Japan,35.6643,139.5271,43
2014,森重真人,Masato Morishige,DF,2014,FC Tokyo,J1 League,Japan,35.6643,139.5271,39
2014,今野泰幸,Yasuyuki Konno,DF,2011,FC Tokyo,J2 League,Japan,35.6643,139.5271,37
2014,今野泰幸,Yasuyuki Konno,DF,2012,Gamba Osaka,J1 League,Japan,34.8028,135.5382,45
2014,今野泰幸,Yasuyuki Konno,DF,2013,Gamba Osaka,J2 League,Japan,34.8028,135.5382,32
2014,今野泰幸,Yasuyuki Konno,DF,2014,Gamba Osaka,J1 League,Japan,34.8028,135.5382,46
2014,伊野波雅彦,Masahiko Inoha,DF,2011,Kashima Antlers,J1 League,Japan,35.9917,140.6405,13
2014,伊野波雅彦,Masahiko Inoha,DF,2011,Hajduk Split,Prva HNL,Croatia,43.5194,16.4317,19
2014,伊野波雅彦,Masahiko Inoha,DF,2012,Vissel Kobe,J1 League,Japan,34.6567,135.1689,23
2014,伊野波雅彦,Masahiko Inoha,DF,2013,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,29
2014,伊野波雅彦,Masahiko Inoha,DF,2014,Júbilo Iwata,J2 League,Japan,34.7252,137.8750,26
2014,酒井宏樹,Hiroki Sakai,DF,2011,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,35
2014,酒井宏樹,Hiroki Sakai,DF,2012,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,23
2014,酒井宏樹,Hiroki Sakai,DF,2013,Hannover 96,Bundesliga,Germany,52.3600,9.7311,17
2014,酒井宏樹,Hiroki Sakai,DF,2014,Hannover 96,Bundesliga,Germany,52.3600,9.7311,28
2014,吉田麻也,Maya Yoshida,DF,2011,VVV-Venlo,Eredivisie,Netherlands,51.3519,6.1797,24
2014,吉田麻也,Maya Yoshida,DF,2012,VVV-Venlo,Eredivisie,Netherlands,51.3519,6.1797,37
2014,吉田麻也,Maya Yoshida,DF,2013,Southampton F.C.,Premier League,England,50.9058,-1.3911,34
2014,吉田麻也,Maya Yoshida,DF,2014,Southampton F.C.,Premier League,England,50.9058,-1.3911,14
