tournament_year,player_name,player_name_en,position,season,club,league,country,club_lat,club_lng,appearances
2026,鈴木彩艶,Zion Suzuki,GK,2023,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,6
2026,鈴木彩艶,Zion Suzuki,GK,2024,Sint-Truidense V.V.,Belgian Pro League,Belgium,50.8135,5.1663,32
2026,鈴木彩艶,Zion Suzuki,GK,2025,Parma Calcio 1913,Serie A,Italy,44.7953,10.3381,37
2026,鈴木彩艶,Zion Suzuki,GK,2026,Parma Calcio 1913,Serie A,Italy,44.7953,10.3381,22
2026,大迫敬介,Keisuke Ōsako,GK,2023,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,39
2026,大迫敬介,Keisuke Ōsako,GK,2024,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,49
2026,大迫敬介,Keisuke Ōsako,GK,2025,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,52
2026,大迫敬介,Keisuke Ōsako,GK,2026,Sanfrecce Hiroshima,J1 League,Japan,34.4408,132.3943,15
2026,早川友基,Tomoki Hayakawa,GK,2023,Kashima Antlers,J1 League,Japan,35.9917,140.6405,36
2026,早川友基,Tomoki Hayakawa,GK,2024,Kashima Antlers,J1 League,Japan,35.9917,140.6405,42
2026,早川友基,Tomoki Hayakawa,GK,2025,Kashima Antlers,J1 League,Japan,35.9917,140.6405,42
2026,早川友基,Tomoki Hayakawa,GK,2026,Kashima Antlers,J1 League,Japan,35.9917,140.6405,16
2026,板倉滉,Ko Itakura,DF,2023,Borussia Mönchengladbach,Bundesliga,Germany,51.1747,6.3856,25
2026,板倉滉,Ko Itakura,DF,2024,Borussia Mönchengladbach,Bundesliga,Germany,51.1747,6.3856,22
2026,板倉滉,Ko Itakura,DF,2025,Borussia Mönchengladbach,Bundesliga,Germany,51.1747,6.3856,34
2026,板倉滉,Ko Itakura,DF,2026,AFC Ajax,Eredivisie,Netherlands,52.3142,4.9419,26
2026,谷口彰悟,Shōgo Taniguchi,DF,2023,Al Rayyan SC,Qatar Stars League,Qatar,25.2919,51.4239,17
2026,谷口彰悟,Shōgo Taniguchi,DF,2024,Al Rayyan SC,Qatar Stars League,Qatar,25.2919,51.4239,26
2026,谷口彰悟,Shōgo Taniguchi,DF,2025,Sint-Truidense V.V.,Belgian Pro League,Belgium,50.8135,5.1663,14
2026,谷口彰悟,Shōgo Taniguchi,DF,2026,Sint-Truidense V.V.,Belgian Pro League,Belgium,50.8135,5.1663,34
2026,長友佑都,Yuto Nagatomo,DF,2023,FC Tokyo,J1 League,Japan,35.6643,139.5271,37
2026,長友佑都,Yuto Nagatomo,DF,2024,FC Tokyo,J1 League,Japan,35.6643,139.5271,30
2026,長友佑都,Yuto Nagatomo,DF,2025,FC Tokyo,J1 League,Japan,35.6643,139.5271,32
2026,長友佑都,Yuto Nagatomo,DF,2026,FC Tokyo,J1 League,Japan,35.6643,139.5271,8
2026,菅原由勢,Yukinari Sugawara,DF,2023,AZ Alkmaar,Eredivisie,Netherlands,52.6131,4.7406,47
2026,菅原由勢,Yukinari Sugawara,DF,2024,AZ Alkmaar,Eredivisie,Netherlands,52.6131,4.7406,42
2026,菅原由勢,Yukinari Sugawara,DF,2025,Southampton F.C.,Premier League,England,50.9058,-1.3911,32
2026,菅原由勢,Yukinari Sugawara,DF,2026,SV Werder Bremen,Bundesliga,Germany,53.0664,8.8375,31
2026,冨安健洋,Takehiro Tomiyasu,DF,2023,Arsenal F.C.,Premier League,England,51.5550,-0.1083,31
2026,冨安健洋,Takehiro Tomiyasu,DF,2024,Arsenal F.C.,Premier League,England,51.5550,-0.1083,30
2026,冨安健洋,Takehiro Tomiyasu,DF,2025,Arsenal F.C.,Premier League,England,51.5550,-0.1083,1
2026,冨安健洋,Takehiro Tomiyasu,DF,2026,AFC Ajax,Eredivisie,Netherlands,52.3142,4.9419,9
2026,伊藤洋輝,Hiroki Ito,DF,2023,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,37
2026,伊藤洋輝,Hiroki Ito,DF,2024,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,29
2026,伊藤洋輝,Hiroki Ito,DF,2025,FC Bayern Munich,Bundesliga,Germany,48.2188,11.6248,8
2026,伊藤洋輝,Hiroki Ito,DF,2026,FC Bayern Munich,Bundesliga,Germany,48.2188,11.6248,23
2026,瀬古歩夢,Ayumu Seko,DF,2023,Grasshopper Club Zürich,Swiss Super League,Switzerland,47.3822,8.5044,34
2026,瀬古歩夢,Ayumu Seko,DF,2024,Grasshopper Club Zürich,Swiss Super League,Switzerland,47.3822,8.5044,39
2026,瀬古歩夢,Ayumu Seko,DF,2025,Grasshopper Club Zürich,Swiss Super League,Switzerland,47.3822,8.5044,40
2026,瀬古歩夢,Ayumu Seko,DF,2026,Le Havre AC,Ligue 2,France,49.4985,0.1688,30
2026,渡辺剛,Gō Watanabe,DF,2023,K.V. Kortrijk,Belgian Pro League,Belgium,50.8283,3.2503,34
2026,渡辺剛,Gō Watanabe,DF,2024,K.A.A. Gent,Belgian Pro League,Belgium,51.0194,3.7208,52
2026,渡辺剛,Gō Watanabe,DF,2025,K.A.A. Gent,Belgian Pro League,Belgium,51.0194,3.7208,48
2026,渡辺剛,Gō Watanabe,DF,2026,Feyenoord,Eredivisie,Netherlands,51.8939,4.5232,39
2026,鈴木淳之介,Junnosuke Suzuki,DF,2023,Shonan Bellmare,J1 League,Japan,35.3436,139.3413,10
2026,鈴木淳之介,Junnosuke Suzuki,DF,2024,Shonan Bellmare,J1 League,Japan,35.3436,139.3413,25
2026,鈴木淳之介,Junnosuke Suzuki,DF,2025,Shonan Bellmare,J1 League,Japan,35.3436,139.3413,24
2026,鈴木淳之介,Junnosuke Suzuki,DF,2026,FC Copenhagen,Danish Superliga,Denmark,55.7025,12.5722,36
2026,遠藤航,Wataru Endo,MF,2023,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,40
2026,遠藤航,Wataru Endo,MF,2024,VfB Stuttgart,Bundesliga,Germany,48.7922,9.2319,1
2026,遠藤航,Wataru Endo,MF,2024,Liverpool F.C.,Premier League,England,53.4308,-2.9608,43
2026,遠藤航,Wataru Endo,MF,2025,Liverpool F.C.,Premier League,England,53.4308,-2.9608,32
2026,遠藤航,Wataru Endo,MF,2026,Liverpool F.C.,Premier League,England,53.4308,-2.9608,12
2026,田中碧,Ao Tanaka,MF,2023,Fortuna Düsseldorf,2. Bundesliga,Germany,51.2614,6.7339,25
2026,田中碧,Ao Tanaka,MF,2024,Fortuna Düsseldorf,2. Bundesliga,Germany,51.2614,6.7339,36
2026,田中碧,Ao Tanaka,MF,2025,Leeds United,Championship,England,53.7778,-1.5722,45
2026,田中碧,Ao Tanaka,MF,2026,Leeds United,Premier League,England,53.7778,-1.5722,30
2026,久保建英,Takefusa Kubo,MF,2023,Real Sociedad,La Liga,Spain,43.3014,-1.9736,44
2026,久保建英,Takefusa Kubo,MF,2024,Real Sociedad,La Liga,Spain,43.3014,-1.9736,41
2026,久保建英,Takefusa Kubo,MF,2025,Real Sociedad,La Liga,Spain,43.3014,-1.9736,52
2026,久保建英,Takefusa Kubo,MF,2026,Real Sociedad,La Liga,Spain,43.3014,-1.9736,27
2026,堂安律,Ritsu Dōan,MF,2023,SC Freiburg,Bundesliga,Germany,48.0216,7.8297,45
2026,堂安律,Ritsu Dōan,MF,2024,SC Freiburg,Bundesliga,Germany,48.0216,7.8297,42
2026,堂安律,Ritsu Dōan,MF,2025,SC Freiburg,Bundesliga,Germany,48.0216,7.8297,36
2026,堂安律,Ritsu Dōan,MF,2026,Eintracht Frankfurt,Bundesliga,Germany,50.0681,8.6458,40
2026,鎌田大地,Daichi Kamada,MF,2023,Eintracht Frankfurt,Bundesliga,Germany,50.0681,8.6458,47
