tournament_year,player_name,player_name_en,position,season,club,league,country,club_lat,club_lng,appearances
1998,小島伸幸,Nobuyuki Kojima,GK,1995,Bellmare Hiratsuka,J-League,Japan,35.3436,139.3413,47
1998,小島伸幸,Nobuyuki Kojima,GK,1996,Bellmare Hiratsuka,J-League,Japan,35.3436,139.3413,44
1998,小島伸幸,Nobuyuki Kojima,GK,1997,Bellmare Hiratsuka,J-League,Japan,35.3436,139.3413,21
1998,小島伸幸,Nobuyuki Kojima,GK,1998,Bellmare Hiratsuka,J-League,Japan,35.3436,139.3413,34
1998,川口能活,Yoshikatsu Kawaguchi,GK,1995,Yokohama Marinos,J-League,Japan,35.5100,139.6063,43
1998,川口能活,Yoshikatsu Kawaguchi,GK,1996,Yokohama Marinos,J-League,Japan,35.5100,139.6063,28
1998,川口能活,Yoshikatsu Kawaguchi,GK,1997,Yokohama Marinos,J-League,Japan,35.5100,139.6063,24
1998,川口能活,Yoshikatsu Kawaguchi,GK,1998,Yokohama Marinos,J-League,Japan,35.5100,139.6063,35
1998,楢崎正剛,Seigo Narazaki,GK,1995,Yokohama Flügels,J-League,Japan,35.4857,139.6125,25
1998,楢崎正剛,Seigo Narazaki,GK,1996,Yokohama Flügels,J-League,Japan,35.4857,139.6125,39
1998,楢崎正剛,Seigo Narazaki,GK,1997,Yokohama Flügels,J-League,Japan,35.4857,139.6125,36
1998,楢崎正剛,Seigo Narazaki,GK,1998,Yokohama Flügels,J-League,Japan,35.4857,139.6125,39
1998,名良橋晃,Akira Narahashi,DF,1995,Bellmare Hiratsuka,J-League,Japan,35.3436,139.3413,48
1998,名良橋晃,Akira Narahashi,DF,1996,Bellmare Hiratsuka,J-League,Japan,35.3436,139.3413,46
1998,名良橋晃,Akira Narahashi,DF,1997,Kashima Antlers,J-League,Japan,35.9917,140.6405,29
1998,名良橋晃,Akira Narahashi,DF,1998,Kashima Antlers,J-League,Japan,35.9917,140.6405,38
1998,相馬直樹,Naoki Soma,DF,1995,Kashima Antlers,J-League,Japan,35.9917,140.6405,54
1998,相馬直樹,Naoki Soma,DF,1996,Kashima Antlers,J-League,Japan,35.9917,140.6405,47
1998,相馬直樹,Naoki Soma,DF,1997,Kashima Antlers,J-League,Japan,35.9917,140.6405,28
1998,相馬直樹,Naoki Soma,DF,1998,Kashima Antlers,J-League,Japan,35.9917,140.6405,39
1998,井原正巳,Masami Ihara,DF,1995,Yokohama Marinos,J-League,Japan,35.5100,139.6063,49
1998,井原正巳,Masami Ihara,DF,1996,Yokohama Marinos,J-League,Japan,35.5100,139.6063,43
1998,井原正巳,Masami Ihara,DF,1997,Yokohama Marinos,J-League,Japan,35.5100,139.6063,24
1998,井原正巳,Masami Ihara,DF,1998,Yokohama Marinos,J-League,Japan,35.5100,139.6063,28
1998,小村徳男,Norio Omura,DF,1995,Yokohama Marinos,J-League,Japan,35.5100,139.6063,45
1998,小村徳男,Norio Omura,DF,1996,Yokohama Marinos,J-League,Japan,35.5100,139.6063,39
1998,小村徳男,Norio Omura,DF,1997,Yokohama Marinos,J-League,Japan,35.5100,139.6063,11
1998,小村徳男,Norio Omura,DF,1998,Yokohama Marinos,J-League,Japan,35.5100,139.6063,33
1998,斉藤俊秀,Toshihide Saito,DF,1996,Shimizu S-Pulse,J-League,Japan,34.9844,138.4811,48
1998,斉藤俊秀,Toshihide Saito,DF,1997,Shimizu S-Pulse,J-League,Japan,34.9844,138.4811,25
1998,斉藤俊秀,Toshihide Saito,DF,1998,Shimizu S-Pulse,J-League,Japan,34.9844,138.4811,39
1998,秋田豊,Yutaka Akita,DF,1995,Kashima Antlers,J-League,Japan,35.9917,140.6405,54
1998,秋田豊,Yutaka Akita,DF,1996,Kashima Antlers,J-League,Japan,35.9917,140.6405,23
1998,秋田豊,Yutaka Akita,DF,1997,Kashima Antlers,J-League,Japan,35.9917,140.6405,28
1998,秋田豊,Yutaka Akita,DF,1998,Kashima Antlers,J-League,Japan,35.9917,140.6405,37
1998,中西永輔,Eisuke Nakanishi,DF,1995,JEF United Ichihara,J-League,Japan,35.6365,140.1328,32
1998,中西永輔,Eisuke Nakanishi,DF,1996,JEF United Ichihara,J-League,Japan,35.6365,140.1328,31
1998,中西永輔,Eisuke Nakanishi,DF,1997,JEF United Ichihara,J-League,Japan,35.6365,140.1328,25
1998,中西永輔,Eisuke Nakanishi,DF,1998,JEF United Ichihara,J-League,Japan,35.6365,140.1328,25
1998,山口素弘,Motohiro Yamaguchi,MF,1995,Yokohama Flügels,J-League,Japan,35.4857,139.6125,42
1998,山口素弘,Motohiro Yamaguchi,MF,1996,Yokohama Flügels,J-League,Japan,35.4857,139.6125,43
1998,山口素弘,Motohiro Yamaguchi,MF,1997,Yokohama Flügels,J-League,Japan,35.4857,139.6125,25
1998,山口素弘,Motohiro Yamaguchi,MF,1998,Yokohama Flügels,J-League,Japan,35.4857,139.6125,39
1998,伊東輝悦,Teruyoshi Ito,MF,1995,Shimizu S-Pulse,J-League,Japan,34.9844,138.4811,45
1998,伊東輝悦,Teruyoshi Ito,MF,1996,Shimizu S-Pulse,J-League,Japan,34.9844,138.4811,36
1998,伊東輝悦,Teruyoshi Ito,MF,1997,Shimizu S-Pulse,J-League,Japan,34.9844,138.4811,40
1998,伊東輝悦,Teruyoshi Ito,MF,1998,Shimizu S-Pulse,J-League,Japan,34.9844,138.4811,40
