tournament_year,player_name,player_name_en,position,season,club,league,country,club_lat,club_lng,appearances
2002,川口能活,Yoshikatsu Kawaguchi,GK,1999,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,36
2002,川口能活,Yoshikatsu Kawaguchi,GK,2000,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,36
2002,川口能活,Yoshikatsu Kawaguchi,GK,2001,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,32
2002,川口能活,Yoshikatsu Kawaguchi,GK,2002,Portsmouth F.C.,First Division,England,50.7961,-1.0631,12
2002,楢崎正剛,Seigo Narazaki,GK,1999,Nagoya Grampus Eight,J1 League,Japan,35.1227,136.9443,34
2002,楢崎正剛,Seigo Narazaki,GK,2000,Nagoya Grampus Eight,J1 League,Japan,35.1227,136.9443,34
2002,楢崎正剛,Seigo Narazaki,GK,2001,Nagoya Grampus Eight,J1 League,Japan,35.1227,136.9443,35
2002,楢崎正剛,Seigo Narazaki,GK,2002,Nagoya Grampus Eight,J1 League,Japan,35.1227,136.9443,33
2002,曽ヶ端準,Jun Sogahata,GK,1999,Kashima Antlers,J1 League,Japan,35.9917,140.6405,4
2002,曽ヶ端準,Jun Sogahata,GK,2000,Kashima Antlers,J1 League,Japan,35.9917,140.6405,6
2002,曽ヶ端準,Jun Sogahata,GK,2001,Kashima Antlers,J1 League,Japan,35.9917,140.6405,29
2002,曽ヶ端準,Jun Sogahata,GK,2002,Kashima Antlers,J1 League,Japan,35.9917,140.6405,38
2002,秋田豊,Yutaka Akita,DF,1999,Kashima Antlers,J1 League,Japan,35.9917,140.6405,36
2002,秋田豊,Yutaka Akita,DF,2000,Kashima Antlers,J1 League,Japan,35.9917,140.6405,39
2002,秋田豊,Yutaka Akita,DF,2001,Kashima Antlers,J1 League,Japan,35.9917,140.6405,37
2002,秋田豊,Yutaka Akita,DF,2002,Kashima Antlers,J1 League,Japan,35.9917,140.6405,42
2002,松田直樹,Naoki Matsuda,DF,1999,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,32
2002,松田直樹,Naoki Matsuda,DF,2000,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,29
2002,松田直樹,Naoki Matsuda,DF,2001,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,39
2002,松田直樹,Naoki Matsuda,DF,2002,Yokohama F. Marinos,J1 League,Japan,35.5100,139.6063,26
2002,森岡隆三,Ryuzo Morioka,DF,1999,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,30
2002,森岡隆三,Ryuzo Morioka,DF,2000,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,34
2002,森岡隆三,Ryuzo Morioka,DF,2001,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,36
2002,森岡隆三,Ryuzo Morioka,DF,2002,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,6
2002,中田浩二,Kōji Nakata,DF,1999,Kashima Antlers,J1 League,Japan,35.9917,140.6405,20
2002,中田浩二,Kōji Nakata,DF,2000,Kashima Antlers,J1 League,Japan,35.9917,140.6405,36
2002,中田浩二,Kōji Nakata,DF,2001,Kashima Antlers,J1 League,Japan,35.9917,140.6405,34
2002,中田浩二,Kōji Nakata,DF,2002,Kashima Antlers,J1 League,Japan,35.9917,140.6405,37
2002,宮本恒靖,Tsuneyasu Miyamoto,DF,1999,Gamba Osaka,J1 League,Japan,34.8028,135.5382,34
2002,宮本恒靖,Tsuneyasu Miyamoto,DF,2000,Gamba Osaka,J1 League,Japan,34.8028,135.5382,33
2002,宮本恒靖,Tsuneyasu Miyamoto,DF,2001,Gamba Osaka,J1 League,Japan,34.8028,135.5382,29
2002,宮本恒靖,Tsuneyasu Miyamoto,DF,2002,Gamba Osaka,J1 League,Japan,34.8028,135.5382,24
2002,明神智和,Tomokazu Myojin,DF,1999,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,37
2002,明神智和,Tomokazu Myojin,DF,2000,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,33
2002,明神智和,Tomokazu Myojin,DF,2001,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,34
2002,明神智和,Tomokazu Myojin,DF,2002,Kashiwa Reysol,J1 League,Japan,35.8485,139.9751,28
2002,市川大祐,Daisuke Ichikawa,DF,1999,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,29
2002,市川大祐,Daisuke Ichikawa,DF,2000,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,36
2002,市川大祐,Daisuke Ichikawa,DF,2001,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,33
2002,市川大祐,Daisuke Ichikawa,DF,2002,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,37
2002,稲本潤一,Junichi Inamoto,MF,1999,Gamba Osaka,J1 League,Japan,34.8028,135.5382,24
2002,稲本潤一,Junichi Inamoto,MF,2000,Gamba Osaka,J1 League,Japan,34.8028,135.5382,34
2002,稲本潤一,Junichi Inamoto,MF,2001,Gamba Osaka,J1 League,Japan,34.8028,135.5382,16
2002,稲本潤一,Junichi Inamoto,MF,2002,Arsenal F.C.,Premier League,England,51.5549,-0.1084,4
2002,服部年宏,Toshihiro Hattori,MF,1999,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,36
2002,服部年宏,Toshihiro Hattori,MF,2000,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,29
2002,服部年宏,Toshihiro Hattori,MF,2001,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,37
2002,服部年宏,Toshihiro Hattori,MF,2002,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,27
2002,中田英寿,Hidetoshi Nakata,MF,2000,A.C. Perugia,Serie A,Italy,43.0964,12.3561,22
2002,中田英寿,Hidetoshi Nakata,MF,2001,A.S. Roma,Serie A,Italy,41.9339,12.4547,22
2002,中田英寿,Hidetoshi Nakata,MF,2002,Parma F.C.,Serie A,Italy,44.7953,10.3381,38
2002,森島寛晃,Hiroaki Morishima,MF,1999,Cerezo Osaka,J1 League,Japan,34.6141,135.5185,36
2002,森島寛晃,Hiroaki Morishima,MF,2000,Cerezo Osaka,J1 League,Japan,34.6141,135.5185,29
2002,森島寛晃,Hiroaki Morishima,MF,2001,Cerezo Osaka,J1 League,Japan,34.6141,135.5185,27
2002,森島寛晃,Hiroaki Morishima,MF,2002,Cerezo Osaka,J2 League,Japan,34.6141,135.5185,41
2002,三都主アレサンドロ,Alessandro Santos,MF,1999,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,35
2002,三都主アレサンドロ,Alessandro Santos,MF,2000,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,40
2002,三都主アレサンドロ,Alessandro Santos,MF,2001,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,37
2002,三都主アレサンドロ,Alessandro Santos,MF,2002,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,34
2002,福西崇史,Takashi Fukunishi,MF,1999,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,30
2002,福西崇史,Takashi Fukunishi,MF,2000,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,34
2002,福西崇史,Takashi Fukunishi,MF,2001,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,38
2002,福西崇史,Takashi Fukunishi,MF,2002,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,32
2002,小野伸二,Shinji Ono,MF,1999,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,16
2002,小野伸二,Shinji Ono,MF,2000,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,26
2002,小野伸二,Shinji Ono,MF,2001,Urawa Red Diamonds,J1 League,Japan,35.9031,139.7175,18
2002,小野伸二,Shinji Ono,MF,2002,Feyenoord,Eredivisie,Netherlands,51.8939,4.5232,44
2002,小笠原満男,Mitsuo Ogasawara,MF,1999,Kashima Antlers,J1 League,Japan,35.9917,140.6405,21
2002,小笠原満男,Mitsuo Ogasawara,MF,2000,Kashima Antlers,J1 League,Japan,35.9917,140.6405,44
2002,小笠原満男,Mitsuo Ogasawara,MF,2001,Kashima Antlers,J1 League,Japan,35.9917,140.6405,33
2002,小笠原満男,Mitsuo Ogasawara,MF,2002,Kashima Antlers,J1 League,Japan,35.9917,140.6405,42
2002,戸田和幸,Kazuyuki Toda,MF,1999,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,33
2002,戸田和幸,Kazuyuki Toda,MF,2000,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,38
2002,戸田和幸,Kazuyuki Toda,MF,2001,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,33
2002,戸田和幸,Kazuyuki Toda,MF,2002,Shimizu S-Pulse,J1 League,Japan,34.9844,138.4811,29
2002,西澤明訓,Akinori Nishizawa,FW,1999,Cerezo Osaka,J1 League,Japan,34.6141,135.5185,35
2002,西澤明訓,Akinori Nishizawa,FW,2000,Cerezo Osaka,J1 League,Japan,34.6141,135.5185,32
2002,西澤明訓,Akinori Nishizawa,FW,2001,RCD Espanyol,La Liga,Spain,41.3478,2.0756,8
2002,西澤明訓,Akinori Nishizawa,FW,2002,Bolton Wanderers,Premier League,England,53.5809,-2.5355,3
2002,西澤明訓,Akinori Nishizawa,FW,2002,Cerezo Osaka,J2 League,Japan,34.6141,135.5185,35
2002,中山雅史,Masashi Nakayama,FW,1999,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,25
2002,中山雅史,Masashi Nakayama,FW,2000,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,36
2002,中山雅史,Masashi Nakayama,FW,2001,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,39
2002,中山雅史,Masashi Nakayama,FW,2002,Júbilo Iwata,J1 League,Japan,34.7252,137.8750,39
2002,鈴木隆行,Takayuki Suzuki,FW,1999,Kashima Antlers,J1 League,Japan,35.9917,140.6405,4
2002,鈴木隆行,Takayuki Suzuki,FW,2000,Kashima Antlers,J1 League,Japan,35.9917,140.6405,15
2002,鈴木隆行,Takayuki Suzuki,FW,2000,Kawasaki Frontale,J2 League,Japan,35.5848,139.6418,13
2002,鈴木隆行,Takayuki Suzuki,FW,2001,Kashima Antlers,J1 League,Japan,35.9917,140.6405,35
2002,鈴木隆行,Takayuki Suzuki,FW,2002,Kashima Antlers,J1 League,Japan,35.9917,140.6405,8
2002,柳沢敦,Atsushi Yanagisawa,FW,1999,Kashima Antlers,J1 League,Japan,35.9917,140.6405,31
2002,柳沢敦,Atsushi Yanagisawa,FW,2000,Kashima Antlers,J1 League,Japan,35.9917,140.6405,32
2002,柳沢敦,Atsushi Yanagisawa,FW,2001,Kashima Antlers,J1 League,Japan,35.9917,140.6405,32
2002,柳沢敦,Atsushi Yanagisawa,FW,2002,Kashima Antlers,J1 League,Japan,35.9917,140.6405,35
